# ============================================================================
# assets/tf_regulons_minimal.tsv — TF-靶基因关系（回退用最小表）
# ============================================================================
# **这不是 dorothea 的替代品。** dorothea 有约 1000 个 TF、30 万条关系
# （置信度 A/B/C）；本表只有几十个 TF、几百条关系。
#
# 它的唯一用途：当 CI 装不上 dorothea 时，TF 调控分析仍然能跑出一个
# **示例级**结果，而不是整步消失。此时 tf_status.json 的
# `coverage` 会写成 `minimal`，结论不得当全基因组结论。
#
# 选取依据：这些 TF 在乳腺癌/上皮肿瘤的 bulk 转录组文献里反复出现，
# 且靶基因是各 TF 的经典直接靶点（不追求覆盖度，只追求"靶点无争议"）。
#
# 列：
#   tf     转录因子（HGNC symbol）
#   target 靶基因（HGNC symbol）
#   mor    调控方向：1 = 激活，-1 = 抑制
# ============================================================================
tf	target	mor
TP53	CDKN1A	1
TP53	MDM2	1
TP53	BAX	1
TP53	BBC3	1
TP53	GADD45A	1
TP53	RRM2B	1
TP53	TIGAR	1
TP53	SFN	1
TP53	ZMAT3	1
TP53	FDXR	1
MYC	CDK4	1
MYC	CCND2	1
MYC	E2F1	1
MYC	LDHA	1
MYC	NCL	1
MYC	ODC1	1
MYC	SRM	1
MYC	TFAM	1
MYC	TERT	1
MYC	CAD	1
MYC	MCM2	1
MYC	MCM5	1
MYC	PCNA	1
MYC	RPL3	1
MYC	NPM1	1
MYC	HSPD1	1
MYC	ENO1	1
MYC	PKM	1
MYC	MTHFD2	1
MYC	SHMT2	1
E2F1	CCNE1	1
E2F1	CCNA2	1
E2F1	CDK1	1
E2F1	MCM3	1
E2F1	MCM6	1
E2F1	RRM1	1
E2F1	TK1	1
E2F1	TYMS	1
E2F1	BIRC5	1
E2F1	CDC20	1
E2F1	CDC6	1
E2F1	ORC1	1
E2F1	POLA1	1
E2F1	MKI67	1
E2F1	TOP2A	1
E2F1	UBE2C	1
E2F1	AURKA	1
E2F1	AURKB	1
E2F1	PLK1	1
E2F1	BUB1	1
ESR1	PGR	1
ESR1	TFF1	1
ESR1	GREB1	1
ESR1	MYB	1
ESR1	XBP1	1
ESR1	FOXA1	1
ESR1	GATA3	1
ESR1	CCND1	1
ESR1	RET	1
ESR1	AREG	1
ESR1	PRLR	1
ESR1	SERPINA3	1
ESR1	LIV-1	1
GATA3	FOXA1	1
GATA3	KRT7	1
GATA3	ESR1	1
GATA3	IL5	1
GATA3	IL13	1
GATA3	IL4	1
FOXA1	ESR1	1
FOXA1	GATA3	1
FOXA1	TFF1	1
FOXA1	AR	1
FOXA1	KRT8	1
FOXA1	KRT18	1
FOXM1	CCNB1	1
FOXM1	CCNB2	1
FOXM1	AURKB	1
FOXM1	CDC25B	1
FOXM1	PLK1	1
FOXM1	CENPA	1
FOXM1	CENPB	1
FOXM1	NEK2	1
FOXM1	KIF20A	1
FOXM1	BIRC5	1
FOXM1	CDC20	1
FOXM1	TOP2A	1
FOXM1	MKI67	1
FOXM1	MYBL2	1
FOXM1	RRM2	1
FOXM1	TYMS	1
FOXM1	SKP2	1
FOXM1	BUB1B	1
FOXM1	NDC80	1
FOXM1	TPX2	1
RELA	IL6	1
RELA	IL8	1
RELA	TNF	1
